"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"91","Uttarakhand","Construction of additional rooms and halls in the existing public and community building","WS/MP204/2025-2026/162158","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-Jan-2026","KAMBOJ ASSOCIATES","Payment In-Progress","1994975"
"92","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/292109","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","24-Jul-2026","Kanthakumar","Payment In-Progress","777304"
"93","Uttar Pradesh","Installing community drinking water plants","WS/MP192/2023-2024/13385","BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","14-Feb-2025","R G SUPPLIERS","Payment In-Progress","190328"
"94","Himachal Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP078/2024-2025/149315","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","27-Aug-2026","GP Khatnol","Payment In-Progress","50000"
"95","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/199341","GADAG(Deputy Commsioner Gadag_ida)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","21-Aug-2026","Project Manager Nirmiti kendra gadag","Payment In-Progress","150000"
"96","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP189/2026-2027/296163","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","01-Sep-2026","KANCHAN DEVI AKHILESH MISHRA MAHAVIDYALAYA SAMITI","Payment In-Progress","1500000"
"97","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP071/2025-2026/182288","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","31-Aug-2026","PINKI LAHKAR","Payment In-Progress","122881"
"98","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP071/2026-2027/182295","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","27-Aug-2026","PINKI LAHKAR","Payment In-Progress","358330"
"99","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/258557","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","27-Aug-2026","Vijay And Company","Payment In-Progress","173248"
"100","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18297/2025-2026/213656","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","01-Sep-2026","Gp Meen","Payment In-Progress","300000"
"101","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP041/2024-2025/128358","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","22-Aug-2026","Assistant Engineer Bisfi Vidhan Sabha","Payment In-Progress","567520"
"102","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/103181","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","21-Aug-2026","Kanthakumar","Payment In-Progress","2903083"
"103","Jammu And Kashmir","Installing hand pumps","WS/MP839/2025-2026/252209","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","08-Aug-2026","Expert Drillers","Payment In-Progress","225655"
"104","Karnataka","Construction of community centers and community halls","WS/MP838/2024-2025/138562","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","02-Sep-2026","ZIlla Nirmithi Kendra Haveri","Payment In-Progress","250000"
"105","Karnataka","Construction of rooms and halls in school and colleges","WS/MP833/2025-2026/235110","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","02-Sep-2026","ZIlla Nirmithi Kendra Haveri","Payment In-Progress","300000"
"106","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/159135","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-Apr-2026","PRAVEJ AND COMPANY","Payment In-Progress","995918"
"107","Uttarakhand","Construction of buildings for community cultural activities","WS/MP204/2025-2026/159140","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","09-Apr-2026","PRAVEJ AND COMPANY","Payment In-Progress","996516"
"108","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18427/2026-2027/295143","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","29-Aug-2026","SRI NELCO ENTERPRISES","Payment In-Progress","1894961"
"109","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2026-2027/282492","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","25-Aug-2026","EE HPPWD PALAMPUR","Payment In-Progress","198148"
"110","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2025-2026/234782","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","17-Aug-2026","GURU KRIPA CONSTRUCTION COMPANY","Payment In-Progress","437941"
"111","Rajasthan","Construction of public libraries and reading rooms","WS/MP18295/2024-2025/165483","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","26-Aug-2026","HUKAM SINGH CONSTRUCTION COMPANY","Payment In-Progress","49996"
"112","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190777","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"113","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190776","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"114","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190778","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"115","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190775","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"116","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190773","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"117","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190774","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"118","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190759","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"119","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190760","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"120","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190761","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"121","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190758","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"122","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190762","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"123","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190751","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"124","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190753","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"125","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190754","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"126","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190757","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"127","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190756","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"128","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190755","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"129","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190750","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"130","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190752","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Apr-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"131","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138913","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","02-Apr-2025","Laxmi","Payment In-Progress","3000"
"132","Uttar Pradesh","Lighting of public spaces","WS/MP201/2023-2024/35268","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","14-Oct-2025","MS DIKSHA ENTERPRISES","Payment In-Progress","579040"
"133","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190771","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","22-May-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"134","Chhattisgarh","Lighting of public spaces","WS/MP225/2025-2026/190772","SURGUJA(Collector Surguja_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","22-May-2026","STARCARE ENTERPRISES LLP","Payment In-Progress","249668"
"135","Assam","Construction of rooms and halls in school and colleges","WS/MP071/2025-2026/223154","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","26-Aug-2026","GUNIN ENTERPRISE","Payment In-Progress","500000"
"136","Uttar Pradesh","Street lights","WS/MP187/2025-2026/210033","MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","21-Feb-2026","KLK Ventures Private Limited","Payment In-Progress","15364"
"137","Uttar Pradesh","Street lights","WS/MP187/2025-2026/210032","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","30-May-2026","KLK Ventures Private Limited","Payment In-Progress","30728"
"138","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229720","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","14397"
"139","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229865","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","28794"
"140","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229721","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"141","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229718","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"142","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229719","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","28794"
"143","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229717","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","15-Jul-2026","KLK Ventures Private Limited","Payment In-Progress","57588"
"144","Uttar Pradesh","Street lights","WS/MP187/2025-2026/229864","HAPUR(DISTRICT MAGISTRATE HAPUR_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","07-Aug-2026","KLK Ventures Private Limited","Payment In-Progress","14397"
"145","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/238325","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","01-Sep-2026","TAPABANTA SAHOO","Payment In-Progress","300000"
"146","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/229860","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","01-Sep-2026","TAPABANTA SAHOO","Payment In-Progress","265349"
"147","Odisha","Construction of community centers and community halls","WS/MP18283/2025-2026/229790","PURI(DISTRICT COLLECTOR PURI_IDA)","Shri Subhasish Khuntia (2024-30) (2024-2030)","Elected MP","29-Aug-2026","TAPABANTA SAHOO","Payment In-Progress","203972"
"148","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/148159","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","01-Sep-2026","Balaji Construction Company","Payment In-Progress","374999"
"149","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/149380","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","31-Aug-2026","VIRUNA GRAM PANCHAYAT","Payment In-Progress","500000"
"150","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18288/2025-2026/146658","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Grup Gram Panchayatvansiya","Payment In-Progress","200000"
"151","Gujarat","Installing tube-wells and borewells","WS/MP18288/2025-2026/237214","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Grup Gram Panchayatvansiya","Payment In-Progress","100000"
"152","Gujarat","Installing tube-wells and borewells","WS/MP18288/2025-2026/237220","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Grup Gram Panchayatvansiya","Payment In-Progress","60000"
"153","Kerala","Purchase of furniture and fixtures for educational purposes","WS/MP096/2026-2027/145613","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Aug-2026","Manager","Payment In-Progress","48212"
"154","Uttar Pradesh","Lighting of public spaces","WS/MP18302/2024-2025/159476","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","24-Dec-2025","PROTON SOLAR PVT LTD","Payment In-Progress","955311"
"155","Karnataka","Construction of community centers and community halls","WS/MP086/2026-2027/209969","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","11-Aug-2026","G B BAIRAVA","Payment In-Progress","497263"
"156","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18303/2024-2025/149499","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Shri Amar Pal Maurya (2024-30) (2024-2030)","Elected MP","27-May-2026","SHANKAR BUILDING CONSTRUCTION","Payment In-Progress","47797"
"157","West Bengal","Development of public parks","WS/MP18383/2024-2025/166507","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","13-Aug-2026","ROY CONSTRUCTION","Payment In-Progress","561235"
"158","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP846/2026-2027/198252","SIDDIPET(District Collector Siddipet_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","27-Aug-2026","Chilla Shivakumar","Payment In-Progress","476344"
"159","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/192621","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","10-Apr-2026","RATHORE CONSTRUCTION COMPANY","Payment In-Progress","250000"
"160","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP196/2024-2025/173988","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","02-Sep-2026","SHREYA CONSTRUCTION","Payment In-Progress","753430"
