"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"6463","Normal/Others","WS/MP847/2025-2026/137665-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6464","Normal/Others","WS/MP847/2025-2026/137664-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6465","Normal/Others","WS/MP847/2025-2026/137663-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6466","Normal/Others","WS/MP847/2025-2026/137667-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6467","Normal/Others","WS/MP140/2025-2026/175512-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","29-Jul-2025","365800"
"6468","Normal/Others","WS/MP140/2025-2026/171005-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","05-Aug-2025","365800"
"6469","Normal/Others","WS/MP847/2025-2026/137672-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6470","Normal/Others","WS/MP847/2025-2026/137671-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6471","Normal/Others","WS/MP847/2025-2026/137676-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6472","Normal/Others","WS/MP847/2025-2026/137675-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6473","Normal/Others","WS/MP847/2025-2026/137674-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6474","Normal/Others","WS/MP847/2025-2026/137673-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6475","Normal/Others","WS/MP847/2025-2026/137693-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
"6476","Normal/Others","WS/MP847/2025-2026/137694-Lighting of public spaces","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","LED SEMI HIGH MAST LIGHT (6LED) WITH 150WATT, 9.5 METER POLE","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","06-Feb-2026","241902"
