Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
878,Karnataka,Construction of bus-sheds or bus-stops,WS/MP18076/2024-2025/145631,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,24-Aug-26,PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA,Payment In-Progress,125000
879,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/203954,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,14-Aug-26,Shinda Singh,Payment In-Progress,109572
880,Uttar Pradesh,Construction of rooms and halls in school and colleges,WS/MP18238/2025-2026/152813,DEORIA(DISTRICT MAGISTRATE DEORIA),RAMASHANKAR RAJBHAR,SALEMPUR,11-Mar-26,Mhatma budh prathmik vidyalaya Musaila Khurd,Payment In-Progress,150000
881,Uttar Pradesh,Installing hand pumps,WS/MP18225/2024-2025/144734,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),22-Dec-25,VIVEK ENTERPRISES,Payment In-Progress,29578
882,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18056/2025-2026/236453,MORBI(District collector Morbi_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,20-Aug-26,BANGAVADI GRAM PANCHAYAT,Payment In-Progress,294118
883,Rajasthan,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP719/2025-2026/208008,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,13-Aug-26,LALITA,Payment In-Progress,3705
884,Karnataka,Construction of bus-sheds or bus-stops,WS/MP18077/2026-2027/254682,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),JAGADISH SHETTAR,BELGAUM,19-Aug-26,PRIYESH GOUNDADKAR,Payment In-Progress,124690
885,Karnataka,Construction of bus-sheds or bus-stops,WS/MP18076/2024-2025/145644,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,25-Aug-26,PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA,Payment In-Progress,125000
886,Karnataka,Construction of community centers and community halls,WS/MP623/2026-2027/247053,VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA),Ramesh Chandappa Jigajinagi,BIJAPUR(SC),07-Aug-26,B K Appanna,Payment In-Progress,187500
887,Odisha,Construction of community centers and community halls,WS/MP18139/2025-2026/202075,Baragada(DISTRICT COLLECTOR BARAGARH_IDA),PRADEEP PUROHIT,BARGARH,24-Aug-26,BIJEPI BAGH,Payment In-Progress,278598
888,Uttar Pradesh,Installing hand pumps,WS/MP18225/2024-2025/144315,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),PUSHPENDRA SAROJ,KAUSHAMBI(SC),22-Dec-25,VIVEK ENTERPRISES,Payment In-Progress,29578
889,Gujarat,Construction of community centers and community halls,WS/MP323/2025-2026/180054,GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA),Rajeshbhai Naranbhai Chudasama,JUNAGADH,21-Aug-26,Indroi Gram Panchayat,Payment In-Progress,492857
890,Tamil Nadu,Construction of bus-sheds or bus-stops,WS/MP870/2025-2026/200569,VELLORE(DISTRICT COLLECTOR VELLORE_IDA),D M Kathir Anand,VELLORE,27-Aug-26,KR CONSTRUCTIONS,Payment In-Progress,1099275
891,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18054/2025-2026/162793,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,24-Aug-26,JEPUR GRAM PANCHAYAT,Payment In-Progress,331343
892,Uttar Pradesh,Street lights,WS/MP18205/2024-2025/148363,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,06-Aug-25,SHRI SAI ENGINEERING WORKS,Payment In-Progress,216409
893,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2024-2025/143897,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,20-Aug-26,A P DEVELOPERS,Payment In-Progress,78743
894,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18238/2025-2026/190938,DEORIA(DISTRICT MAGISTRATE DEORIA),RAMASHANKAR RAJBHAR,SALEMPUR,16-Feb-26,MS AKHAND PRATAP TRADERS,Payment In-Progress,121501
895,Gujarat,Fitting of Sitting RCC Benches in Public Places,WS/MP18056/2025-2026/263041,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,18-Aug-26,HIRAL CONSTRUCTION,Payment In-Progress,46952
896,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18056/2025-2026/206223,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,18-Aug-26,HIRAL CONSTRUCTION,Payment In-Progress,199504
897,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18056/2025-2026/206221,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),PARSHOTTAMBHAI RUPALA,RAJKOT,18-Aug-26,HIRAL CONSTRUCTION,Payment In-Progress,199883
898,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2026-2027/228652,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,14-May-26,PRAVINDRA KUMAR,Payment In-Progress,1138440
899,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18232/2026-2027/259269,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,06-Aug-26,PRAVINDRA KUMAR,Payment In-Progress,53264
